filename,id,title,risk_data_type,has_hazard,has_exposure,has_vulnerability,has_loss,license,resource_count,country_count
rdls_ev-abw_fao_arubaprices.json,rdls_ev-abw_fao_arubaprices,Aruba - Food Prices,exposure|vulnerability,False,True,True,False,Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO),4,1
rdls_ev-abw_unesco_arubaeducationindicators.json,rdls_ev-abw_unesco_arubaeducationindicators,Aruba - Education Indicators,exposure|vulnerability,False,True,True,False,Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO),9,1
rdls_ev-abw_who_arubaindicators.json,rdls_ev-abw_who_arubaindicators,Aruba - Health Indicators,exposure|vulnerability,False,True,True,False,Other,5,1
rdls_ev-abw_who_arubaindicators_f0d2ce4f.json,rdls_ev-abw_who_arubaindicators_f0d2ce4f,Aruba - Health Indicators,exposure|vulnerability,False,True,True,False,Other,4,1
rdls_ev-abw_worldbank_arubaclimatechange.json,rdls_ev-abw_worldbank_arubaclimatechange,Aruba - Climate Change,exposure|vulnerability,False,True,True,False,CC-BY-4.0,2,1
rdls_ev-abw_worldbank_arubaeducation.json,rdls_ev-abw_worldbank_arubaeducation,Aruba - Education,exposure|vulnerability,False,True,True,False,CC-BY-4.0,2,1
rdls_ev-abw_worldbank_arubagender.json,rdls_ev-abw_worldbank_arubagender,Aruba - Gender,exposure|vulnerability,False,True,True,False,CC-BY-4.0,2,1
rdls_ev-acaps_informseverityindex.json,rdls_ev-acaps_informseverityindex,INFORM Severity Index,exposure|vulnerability,False,True,True,False,CC-BY-4.0,85,0
rdls_ev-afg_drew_rainfall20132016populatio.json,rdls_ev-afg_drew_rainfall20132016populatio,Afghanistan Rainfall (2013-2016) and Population Comparisons (2010-2020): A Public Health and Food Security Synthesis Rep,exposure|vulnerability,False,True,True,False,CC-BY-4.0,3,1
rdls_ev-afg_fao_prices.json,rdls_ev-afg_fao_prices,Afghanistan - Food Prices,exposure|vulnerability,False,True,True,False,Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO),5,1
rdls_ev-afg_fao_securitynutritionindicato.json,rdls_ev-afg_fao_securitynutritionindicato,Afghanistan - Food Security and Nutrition Indicators,exposure|vulnerability,False,True,True,False,Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO),2,1
rdls_ev-afg_hdxapi_hdxhapi.json,rdls_ev-afg_hdxapi_hdxhapi,HDX HAPI Data for Afghanistan,exposure|vulnerability,False,True,True,False,Other,14,1
rdls_ev-afg_ochaafg_2015humanitarianresponsep.json,rdls_ev-afg_ochaafg_2015humanitarianresponsep,Afghanistan 2015 Humanitarian Response Plan - Need & Vulnerability Index,exposure|vulnerability,False,True,True,False,CC0-1.0,1,1
rdls_ev-afg_ophi_multidimensionalindex.json,rdls_ev-afg_ophi_multidimensionalindex,Afghanistan Multidimensional Poverty Index,exposure|vulnerability,False,True,True,False,CC0-1.0,2,1
