filename,id,title,risk_data_type,composite_score,has_hazard_block,has_exposure_block,has_vulnerability_block,has_loss_block,validation_status,validation_errors,validation_error_summary
rdls_hzd-rwaicpac_floodinundation100yearret.json,rdls_hzd-rwaicpac_floodinundation100yearret,Rwanda Flood Inundation (100 year return period),hazard,1.0,True,False,False,False,valid,0,
rdls_hzd-kenicpac_floodinundation100yearret.json,rdls_hzd-kenicpac_floodinundation100yearret,Kenya Flood Inundation (100 year return period),hazard,1.0,True,False,False,False,valid,0,
rdls_hzd-ethicpac_floodinundation100yearret.json,rdls_hzd-ethicpac_floodinundation100yearret,Ethiopia Flood Inundation (100 year return period),hazard,1.0,True,False,False,False,valid,0,
rdls_hzd-eriicpac_floodinundation100yearret.json,rdls_hzd-eriicpac_floodinundation100yearret,Eritrea Flood Inundation (100 year return period),hazard,1.0,True,False,False,False,valid,0,
rdls_hzd-bdiicpac_floodinundation100yearret.json,rdls_hzd-bdiicpac_floodinundation100yearret,Burundi Flood Inundation (100 year return period),hazard,1.0,True,False,False,False,valid,0,
rdls_exp-zwewpdx_zwe.json,rdls_exp-zwewpdx_zwe,Water Point Data Exchange (ZWE),exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zweworldpop_spatialdistributionpopula.json,rdls_exp-zweworldpop_spatialdistributionpopula,Zimbabwe - Spatial Distribution of Population (2015-2030),exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zweworldpop_pregnancies.json,rdls_exp-zweworldpop_pregnancies,Zimbabwe - Pregnancies,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zweworldpop_populationdensity.json,rdls_exp-zweworldpop_populationdensity,Zimbabwe - Population Density,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zweworldpop_populationcounts.json,rdls_exp-zweworldpop_populationcounts,Zimbabwe - Population Counts,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zweworldpop_births.json,rdls_exp-zweworldpop_births,Zimbabwe - Births,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zweworldpop_agegenderstructures.json,rdls_exp-zweworldpop_agegenderstructures,Zimbabwe - Age and gender structures,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zweworldbank_urbandevelopment.json,rdls_exp-zweworldbank_urbandevelopment,Zimbabwe - Urban Development,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zweworldbank_publicsector.json,rdls_exp-zweworldbank_publicsector,Zimbabwe - Public Sector,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zweworldbank_privatesector.json,rdls_exp-zweworldbank_privatesector,Zimbabwe - Private Sector,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zweworldbank_infrastructure.json,rdls_exp-zweworldbank_infrastructure,Zimbabwe - Infrastructure,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zweworldbank_environment.json,rdls_exp-zweworldbank_environment,Zimbabwe - Environment,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zweworldbank_energymining.json,rdls_exp-zweworldbank_energymining,Zimbabwe - Energy and Mining,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zweworldbank_economygrowth.json,rdls_exp-zweworldbank_economygrowth,Zimbabwe - Economy and Growth,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zweworldbank_economicsocialenvironment.json,rdls_exp-zweworldbank_economicsocialenvironment,"Zimbabwe - Economic, Social, Environmental, Health, Education, Development and Energy",exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zwewhosonfirst_wofadministrativesubdivis.json,rdls_exp-zwewhosonfirst_wofadministrativesubdivis,Zimbabwe: WOF Administrative Subdivisions and Human Settlements,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zweunhcr_dataforciblydisplacedpopu.json,rdls_exp-zweunhcr_dataforciblydisplacedpopu,Zimbabwe - Data on forcibly displaced populations and stateless persons,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zweunhabitat_demographichealtheducatio.json,rdls_exp-zweunhabitat_demographichealtheducatio,"Zimbabwe - Demographic, Health, Education and Transport indicators",exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zweourairports_airports.json,rdls_exp-zweourairports_airports,Airports in Zimbabwe,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zweocharosea_schools.json,rdls_exp-zweocharosea_schools,Zimbabwe: Schools,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zweocharosea_jointseverityanalysis.json,rdls_exp-zweocharosea_jointseverityanalysis,Zimbabwe: Joint Severity Analysis,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zweocharosea_healthinstitutions.json,rdls_exp-zweocharosea_healthinstitutions,Zimbabwe - Health Institutions,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zweocharosea_educationfacilities.json,rdls_exp-zweocharosea_educationfacilities,Zimbabwe - Education Facilities,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zwemetad4g_highresolutionpopulationd.json,rdls_exp-zwemetad4g_highresolutionpopulationd,Zimbabwe: High Resolution Population Density Maps + Demographic Estimates,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zwekontur_populationdensity400mh3he.json,rdls_exp-zwekontur_populationdensity400mh3he,Zimbabwe: Population Density for 400m H3 Hexagons,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zwegrid3_zwesettlementextentsv30.json,rdls_exp-zwegrid3_zwesettlementextentsv30,GRID3 ZWE - Settlement Extents v3.0,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zwedhs_subnationaldemographichea.json,rdls_exp-zwedhs_subnationaldemographichea,Zimbabwe - Subnational Demographic and Health Data,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zwedhs_nationaldemographichealth.json,rdls_exp-zwedhs_nationaldemographichealth,Zimbabwe - National Demographic and Health Data,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zwecred_emdatcountryprofiles.json,rdls_exp-zwecred_emdatcountryprofiles,"EM-DAT - Country Profiles, Zimbabwe",exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zwecopernicus_globalhumansettlementlaye.json,rdls_exp-zwecopernicus_globalhumansettlementlaye,Zimbabwe: Copernicus Global Human Settlement Layer (GHSL),exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zmbwpdx_zmb.json,rdls_exp-zmbwpdx_zmb,Water Point Data Exchange (ZMB),exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zmbworldpop_spatialdistributionpopula.json,rdls_exp-zmbworldpop_spatialdistributionpopula,Zambia - Spatial Distribution of Population (2015-2030),exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zmbworldpop_pregnancies.json,rdls_exp-zmbworldpop_pregnancies,Zambia - Pregnancies,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zmbworldpop_populationdensity.json,rdls_exp-zmbworldpop_populationdensity,Zambia - Population Density,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zmbworldpop_populationcounts.json,rdls_exp-zmbworldpop_populationcounts,Zambia - Population Counts,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zmbworldpop_births.json,rdls_exp-zmbworldpop_births,Zambia - Births,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zmbworldpop_agegenderstructures.json,rdls_exp-zmbworldpop_agegenderstructures,Zambia - Age and gender structures,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zmbworldbank_urbandevelopment.json,rdls_exp-zmbworldbank_urbandevelopment,Zambia - Urban Development,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zmbworldbank_publicsector.json,rdls_exp-zmbworldbank_publicsector,Zambia - Public Sector,exposure,1.0,False,True,False,False,valid,0,
rdls_exp-zmbworldbank_privatesector.json,rdls_exp-zmbworldbank_privatesector,Zambia - Private Sector,exposure,1.0,False,True,False,False,valid,0,
